"","symbol","C51","C84","C83","C91","C34","C89","NC1","NC5","NC9","NC11","NC23","NC24"
"11679","OSBP2",69,163,104,274,369,307,314,77,165,265,129,79
"11680","OSBPL10",46,8,27,101,74,97,51,9,214,32,21,116
"11681","OSBPL11",2780,1919,1438,1225,2910,3464,675,1105,1791,2499,1032,1958
"11682","OSBPL1A",402,139,103,241,301,669,114,241,176,280,84,290
"11683","OSBPL2",3526.43,1887.54,1724.56,2223.57,2355.67,2495.9,1759.63,1817.17,2255.03,3533.85,2157.34,2619.29
"11684","OSBPL3",379,208,362,403,422,218,214,126,605,354,168,334
"11685","OSBPL5",377,188,558,285,153,74,266,342,334,527,413,376
"11686","OSBPL6",43.4,5,7,5.01,29.01,30.01,16,5,9.04,17.11,7.01,18.72
"11687","OSBPL7",209,175,309,365,138,124,447,273,531,308,419,473
"11688","OSBPL8",6910,6191,3396,4460,9005,11937,1735,2188,4798,7570,2629,5057
"11689","OSBPL9",1764,1099,1145,778,1145,1011.37,402,850,1538,1412,560,1154
"11690","OSCAR",3565.06,4539.98,4117,2156.05,1460,1293,3495.99,7134,1078.81,4022,6227.95,2612
"11691","OSCP1",22,6,7,12,5,7,2,2,11,10,16,5
"11692","OSER1",4493,2759,1989,2870,2571,2715,2517,3491,3030,3654,3132,3586
"11693","OSGEP",1025.02,717,617,1140,483,439,1317,777,1056,1090,1164,1174
"11694","OSGEPL1",110,54,99,198,96,42,110,68,283,126,66,146
"11695","OSGIN1",52,43,60,52,10,17,105,130,49,110,177,61
"11696","OSGIN2",1218,1029,1281,1474,2270,1792,665,698,1863,1642,932,1441
"11697","OSM",455,471,703,593,1573,515,971,574,1356,851,1491,1943
"11698","OSMR",22.53,11.13,9.73,2.02,3.95,5.19,11.48,13.57,5.53,9.4,3.06,15.99
"11699","OSR1",0,0,0,0,0,0,0,0,0,0,0,0
"11700","OSR2",0,0,0,0,4,0,0,1,0,0,2,0
"11701","OST4",5864.59,3593.9,4953.67,5828.74,3205.88,1964.74,5521.85,4318.84,5119.76,5061.9,4658.73,4027.82
"11702","OSTC",1390,955,864.07,1149,887,486,799,576.06,1376.03,1321,686,1355.01
"11703","OSTF1",7187,5790,4489,5322,4900,4594,3207,6816,4633,7735,5079,5641
"11704","OSTM1",2744.82,1903.01,2042,1852.68,1814.14,1594.67,1056.06,1439,1737.7,2522.01,1662.45,2031.55
"11705","OSTN",0,0,0,0,0,0,0,0,1,0,0,0
"11706","OTC",0,0,0,0,0,0,0,0,0,0,0,0
"11707","OTOA",5,8,11,4,4,1,6,8,4,6,5,13
"11708","OTOF",87,141,797,13,72,7,15,18,174,9,21,6
"11709","OTOG",0,0,0,0,0,0,0,0,0,0,0,0
"11710","OTOGL",7,0,1,0,2,6,0,0,2,1,0,0
"11711","OTOL1",0,0,0,0,0,0,0,0,0,0,0,0
"11712","OTOP1",0,0,0,0,0,0,0,0,0,0,0,0
"11713","OTOP2",0,0,0,1,0,0,2,0,0,4,1,2
"11714","OTOP3",0,0,0,0,0,0,0,0,0,0,0,0
"11715","OTOR",0,0,0,0,0,0,0,0,1,0,0,0
"11716","OTOS",0,0,0,0,0,0,0,0,0,0,0,0
"11717","OTP",0,0,0,0,0,0,0,0,0,0,0,0
"11718","OTUB1",2541,2304,2073,2153,1094,946,2589,3060,2147,2914,4271,2332
"11719","OTUB2",12.06,18.19,8.07,12.08,13.12,3.01,7.05,6.09,15.03,19.09,7.06,16.05
"11720","OTUD1",1636,1958,894,1261,1056,769,629,783,895,1220,935,1152
"11721","OTUD3",125.78,90.23,110.64,151.77,163.63,147.5,141.09,67.74,341.7,138.67,80.39,153.28
"11722","OTUD4",796,446,555,651,1050,752,251,270,1150,827,264,698
"11723","OTUD5",4274,2725,2311,2883,2214,1987,3344,3067,3464,3320,4207,3573
"11724","OTUD6A",4.38,5.36,1.61,0,1.36,6.13,7.52,7.37,4.55,1.03,3.05,4.95
"11725","OTUD6B",188,120,154,160,210,195,55,40,245,224,67,137
"11726","OTUD7A",24,4,12,42,12,7,12,10,34,16,10,8
"11727","OTUD7B",114.41,67.22,95.2,111.04,88.58,22.75,89.65,76.48,130.58,100.32,50.67,84.23
"11728","OTULIN",1117.99,794.46,668.37,660.75,1149.1,815.97,529.97,498.59,739.88,794.98,504.21,770.78
"11729","OTULINL",2520.17,1759.21,1717.33,1306.78,1516.02,1566.46,1081.16,1027.89,1514.71,2288.04,1073.46,2012.73
"11730","OTX1",83,57,19,82,78,64,83,19,102,153,20,144
"11731","OTX2",0,0,0,0,0,0,0,0,0,0,0,0
"11732","OVCA2",587.08,513.06,403.24,519.56,252.16,135.99,836.87,814.26,549.97,676.7,877.91,666
"11733","OVCH1",12,8,1,1,2,6,0,2,0,0,1,0
"11734","OVCH2",0,0,0,0,0,0,0,1,0,0,0,0
"11735","OVGP1",52,26,16,103,19,38,106,35,98,28,47,93
"11736","OVOL1",1,0,1,0,0,0,0,0,1,2,1,1
"11737","OVOL2",0,0,0,0,0,0,0,0,0,0,0,0
"11738","OVOL3",0,0,0,0,0,0,0,0,0,0,0,0
"11739","OXA1L",3915.87,2359.57,1770.1,2561.51,1871.38,1453.95,3544.12,2077.28,2928.03,3279.76,2999.79,3472.64
"11740","OXCT1",320,376,360,546,362,136,229,225,876,351,221,422
"11741","OXCT2",6,4,6,5,2,1,2,0,3,1,3,3
"11742","OXER1",235.13,450.97,118.54,434.23,123.09,111.09,477.24,393.79,294.61,560.62,410,378.35
"11743","OXGR1",5,8,0,0,5,11,0,0,1,3,0,1
"11744","OXLD1",508,476,404,641,183,159,857,561,779,605,1083,624
"11745","OXNAD1",415.71,526.52,285.87,1387.71,550.86,276.21,1110.08,307.11,1810.01,632.56,560.19,1085.13
"11746","OXR1",1315,762,639,562,1006,1051,221,284,969,1074,342,749
"11747","OXSM",225,159,176,226,114,63,155,123,261,168,120,194
"11748","OXSR1",2862,1599,1216,1261,2096,2112,729,932,1930,1991,1049,1590
"11749","OXT",0,0,0,0,0,0,0,0,0,0,0,0
"11750","OXTR",26,27,10,8,26,11,51,12,15,36,19,4
"11751","P2RX1",5653,4643,1563,2216,1920,1467,1870,4016,1157,1986,2912,1948
"11752","P2RX2",0,0,0,0,0,0,0,0,0,2,0,2
"11753","P2RX3",0,0,1,0,0,0,0,0,0,0,0,0
"11754","P2RX4",1078,630,613,543,318,320,658,853,640,1164,1040,605
"11755","P2RX5",562,223,233,489,414,249,535,211,542,524,607,983
"11756","P2RX6",7,17,4,24,14,3,26,8,23,19,11,16
"11757","P2RX7",949.22,427.37,839.59,329.98,540.32,626.17,274.46,410.51,733.26,1411.58,479.44,621.93
"11758","P2RY1",160,63,48,37,55,97,50,106,36,144,52,40
"11759","P2RY10",609,572,259,1809,907,399,966,346,2405,1015,495,1228
"11760","P2RY11",14.21,19.71,0,57.4,0,0,0,70.05,27.48,32.97,17.57,0
"11761","P2RY12",253,70,146,107,106,128,26,71,137,198,93,52
"11762","P2RY13",10539,13159,6278,7039,12101,13290,4836,5357,6653,14231,6134,10461
"11763","P2RY14",290,870,271,459,969,231,204,412,772,2498,859,345
"11764","P2RY2",435.11,308.37,283.19,361.53,311.57,281.65,561.52,105.54,364.23,315.18,173.53,538.41
"11765","P2RY4",0,0,0,0,0,0,0,0,0,0,0,0
"11766","P2RY6",13,16,62,16,5,1,25,18,24,20,25,21
"11767","P2RY8",2617,2181,2156,2894,1994,1680,2822,2011,4532,2737,2265,4412
"11768","P3H1",905,559,624,660,433,321,936,536,821,830,816,862
"11769","P3H2",15.02,0,2,14,7,0,23,2,14,24,4,25
"11770","P3H3",10,5,6,38,7,8,54,10,57,8,41,44
"11771","P3H4",45.94,28.6,53.77,90.52,25.78,42.52,96.81,79.86,80.86,41.84,83.89,87.62
"11772","P3R3URF",0,0,0,0,0,0,0,0,0,0,0,0
"11773","P3R3URF-PIK3R3",0,0,0,0,0,0,0,0,0,0,0,0
"11774","P4HA1",951,695,610,660,831,758,449,829,696,1005,498,907
"11775","P4HA2",29.49,31.17,8.53,23.81,12.42,17.34,9.88,23,15.68,22.66,43.98,7.3
"11776","P4HA3",0,0,0,0,0,0,0,0,0,3,0,0
"11777","P4HB",8779,5250,5835,4683,3415,2746,5499,5927,5319,7848,6974,7125
"11778","P4HTM",237,202,228,305,130,90,314,147,385,225,305,316
"11779","PA2G4",2603,1604,1484,2332,1521,1067,2291,1334,2975,2340,1884,2591
"11780","PAAF1",283.84,174.05,218.33,272.72,129.36,114.79,241.57,161.69,353.9,277.45,198.06,260.88
"11781","PABPC1",35200.75,16757.33,10853.06,24596.8,19247.53,15036.38,18358.67,11391.45,33191.75,30079.79,18266.17,33173.64
"11782","PABPC1L",106,114,126,152,167,137,167,109,233,128,247,190
"11783","PABPC1L2A",0,0,0,0,1,0,0,0,0,0,0,0
"11784","PABPC1L2B",0,0,0,0,0,0,0,0,0,0,0,0
"11785","PABPC3",6.46,2.03,0,4.7,3.04,2.09,6.05,7.07,5.59,4.26,14.07,7.66
"11786","PABPC4",2162,969,828,1889,1176,670,1724,930,2152,2045,1832,2145
"11787","PABPC4L",0,0,0,0,0,0,0,0,0,0,0,0
"11788","PABPC5",0,0,0,0,2,0,0,0,0,0,0,0
"11789","PABPN1",4902.9,3504.71,3423.82,4555.99,3021,2715.07,5782,4369.49,4418,4416.55,4314.76,5343.41
"11790","PABPN1L",3,3,3,14,4,8,9,2,3,5,23,6
"11791","PACC1",320,174,253,286,199,142,188,145,285,292,194,315
"11792","PACRG",4.72,1,2.2,5.05,3.01,4.03,0.56,5.96,5.03,1.02,4.15,2.43
"11793","PACRGL",107,95,82,103,74.41,75,56.83,37,167,149.68,79,84
