"","symbol","C51","C84","C83","C91","C34","C89","NC1","NC5","NC9","NC11","NC23","NC24"
"16173","STK35",1109,726,645,802,912,1074,438,344,923,949,472,705
"16174","STK36",198,131,219,222,213,203,126,150,252,226,115,270
"16175","STK38",6940,5633,5096,6136,4872,3110,6177,6937,6120,7690,4956,5633
"16176","STK38L",2323,1503,887,1395,2494,2267,710,882,1437,2172,982,1709
"16177","STK39",544,344,449,587,393,181,249,263,517,634,189,449
"16178","STK4",9849.2,5505.57,4999.79,5743.81,9738.33,10126.59,3528.17,3840.81,7789.08,7245.69,3930.68,6136.47
"16179","STK40",6457,4534,3396,5716,4923,4809,4725,4551,5212,8065,8740,7040
"16180","STKLD1",2,0,2,4,2,1,1,4,2,1,0,4
"16181","STMN1",1382.63,1807.69,646.39,845.89,656.07,160.91,601.28,473.42,1033.59,477.77,404.91,606.66
"16182","STMN2",0,0,0,0,0,1,0,0,0,2,0,1
"16183","STMN3",284,507,303,1525,221,257,1461,457,2116,1066,1672,1099
"16184","STMN4",1,1,1,0,0,1,0,0,0,0,0,0
"16185","STMND1",0,0,0,0,0,0,0,0,0,0,0,0
"16186","STMP1",2794.14,2091.25,1529.48,1909.28,1333.06,1262.4,1515.63,1626.05,1988.77,2476.95,1661.9,1990.88
"16187","STN1",807,1126,640,1174,866,699,1038,1403,1401,1753,1834,1140
"16188","STOM",8891.7,6206.34,6438.68,2912.19,2842.64,1886.24,1889.26,6285.83,3229.54,4484.29,3347.56,2236.84
"16189","STOML1",107.3,139.31,204.72,126.25,42.46,43.44,186.44,243.24,210.73,174.01,364.3,91.37
"16190","STOML2",1257,880,826,996,563,423,1160,959,1199,1003,1116,1083
"16191","STOML3",0,0,0,0,0,0,0,0,0,0,0,0
"16192","STON1",81,43.02,26.95,37.92,64.01,33.04,20,20.01,25,31.47,21,23.1
"16193","STON1-GTF2A1L",0,0,4.68,0,0,0,0,0,0,0,0,0
"16194","STON2",489.84,127.44,122.04,102.17,225.01,106.47,158.41,197.76,148.89,200.31,73.41,103.01
"16195","STOX1",1,3,1,5,1,3,2,3,50,2,2,8
"16196","STOX2",25,3,11,5,10,11,6,2,1,1,1,1
"16197","STPG1",63,28,52,55,30,13,43,34,122,52.01,61,42
"16198","STPG2",2,1,1,0,1,2,1,0,0,1,1,1
"16199","STPG3",0,1,0,0,0,0,4,1,0,0,0,0
"16200","STPG4",3,3,0,0,3,4,3,0,1,1,0,0
"16201","STRA6",0,0,0,0,0,0,0,1,0,0,0,0
"16202","STRA8",1,0,0,0,0,0,0,0,0,0,0,0
"16203","STRADA",1369,914,753,953,613,595,1160,1398,1097,1229,1226,1064
"16204","STRADB",638,325,415,681,3528,1204,687,313,1219,758,309,414
"16205","STRAP",1658,1118,980,1273,937,661,773,855,1381,1405,818,1384
"16206","STRBP",266.97,104,156.07,400,301.05,175.5,203.09,82.05,725.11,259.3,145,435.94
"16207","STRC",4,11,10,16,4,6,28,4,19,7,8,11
"16208","STRIP1",1163,810,805,867,831,782,619,500,1186,1155,669,1012
"16209","STRIP2",46.13,36.69,25.59,21.68,38.07,47.85,42.29,44.71,24.8,28.73,36.88,24.92
"16210","STRIT1",2,0,0,0,0,0,0,0,0,0,3,0
"16211","STRN",1869,1208,889,973,1955,1984,539,625,1234.98,1399,578,1127
"16212","STRN3",462,301.25,264,304.99,372,293,119,192,374,398,164,295
"16213","STRN4",1519,1622,1011,1517,990,1171,1709,1095,1245,2226,2598,2089
"16214","STS",741,355,385,194,379,810,148,311,242,1056,276,340
"16215","STT3A",1451.01,730.56,1078.65,1004.28,1087.28,658.22,767.52,642.24,1352.41,1122.51,672.31,1274.96
"16216","STT3B",4236,2829,2182,3159,3511,2773,2041,1688,4422,3686,1582,3834
"16217","STUB1",780.11,792.39,792.24,1249.53,431.2,362.72,1532.14,1171.44,978.18,1116.58,2051.09,1088
"16218","STUM",0,0,0,0,1,4,0,0,9,1,0,0
"16219","STX10",3854,5801,4206,4142,2371,2784,4809,4722,2871,5778,8492,5147
"16220","STX11",3459.62,4475.15,3804.89,2537,3695.56,3050.66,1628.86,3936.24,3096.98,7250.38,4869.23,3593.45
"16221","STX12",1604,802,1011,806,952,898,559,717,884,1411,865,869
"16222","STX16",3228.06,3350.62,2818.7,3541.12,4204.01,5647.26,2069.64,1881.46,4664.79,4223.65,2350.1,4677.46
"16223","STX17",530.06,395,650,469.01,644,378.11,307.03,360,962,691,309.1,478
"16224","STX18",551.58,440,474.83,511,326,197,433,384.81,708,586,494,573
"16225","STX19",0,0,1,0,2,2,5,1,8,1,2,2
"16226","STX1A",75,41,56,68,17,13,83,62,58,39,78,41
"16227","STX1B",9.38,10.03,7.1,18.04,9.19,15.89,27.06,5.01,39.05,15.24,14.02,9.11
"16228","STX2",304.7,252.08,303.4,408.84,467.79,198.39,329.69,188.11,524.09,351.32,255.14,447.21
"16229","STX3",8940.26,7854.28,6592.11,7205.15,8789.27,9630.78,4176.27,6458.69,5989.82,11286.13,5471.69,7708.09
"16230","STX4",1960,1418,1258,1687,880,984,1842,1879,1553,1973,2499,1902
"16231","STX5",2198,1527,1292,1590,920,777,2027,2368,1410,2142,2441,1723
"16232","STX6",1640,1625,1165,1113,1257,1053,959,1038,1118,1542,958,1440
"16233","STX7",4805.16,4427.16,2525.82,2910.22,4169.53,3978.57,1856.02,2706.12,3419.92,4606.31,2568.04,3650.5
"16234","STX8",1037,723,849,862,370,302,1031,971,908,1124,998,769
"16235","STXBP1",7,7,16,48.81,8,22,10.01,4,50,21,16,36
"16236","STXBP2",6780,6723,4586,4538,3191,3580,6720,10821,4457,8322,16019,6226
"16237","STXBP3",2720,2250,1622,1927,3034,3219,729,1238,2120,2642,1314,2153
"16238","STXBP4",32.3,19.22,45.38,43.14,34.71,24.31,36.07,32.25,67.08,33.37,25.65,70.41
"16239","STXBP5",3002,2004,978,1505,3080,3460,653,812,1370,1626,621,1499
"16240","STXBP5L",0,0,0,0,0,0,0,0,0,0,0,0
"16241","STXBP6",3,2,1,1,5,1,0,2,3,0,3,3
"16242","STYK1",18,13,64,24,35,17,14,14,6,23,1,30
"16243","STYX",948.37,583.61,537.59,772.43,697.61,532.54,599.41,576.86,1145.92,908.88,523.72,836.62
"16244","STYXL1",812,548,966,721,454,500,1149,1559,648,1246,1447,1165
"16245","SUB1",5811,5525,4865,5656,4650,2546,4342,4965,5628,5979,4185,5081
"16246","SUCLA2",574,359,397,415,246,205,129,134,446,458,195,377
"16247","SUCLG1",2168,1723,1343,1508,965,727,1784,2147,1625,2063,1783,1515
"16248","SUCLG2",848,459,494,779,469,339,526,429,1161,767,414,682
"16249","SUCNR1",176,49,97,19,81,76,33,18,35,64,31,21
"16250","SUCO",895,503,540,695,856,723,416,340,995,816,361,725
"16251","SUDS3",1568,1197,932,1228,1667,1393,538,673,1360,1321,664,1113
"16252","SUFU",767,431,419,418,336,275,371,276,439,614,316,418
"16253","SUGCT",4,2,2,17,7,7,11,0,13,2,8,12
"16254","SUGP1",889.12,713,650.12,790.53,481.21,353.13,907.18,820,900,855.01,1403.06,909
"16255","SUGP2",1686.87,1072.52,1223.44,1375.65,1498.24,1484.5,1037.27,772.26,2050.75,1566.98,888.9,1964.05
"16256","SUGT1",965.02,540.73,743.59,763.32,608.67,376.04,800.26,614.73,1016.58,826.03,597.23,874.22
"16257","SULF1",0,0,0,0,0,0,0,0,1,0,0,0
"16258","SULF2",6944,4173,2409,3125,4541,5096,3091,1744,3342,5673,2586,6293
"16259","SULT1A1",5462.54,3717.08,2188.57,1796.83,2500.57,1583.62,4237.85,1563.08,1436.19,3334.81,2794.8,2731.83
"16260","SULT1A2",119.06,145.97,55.02,170.12,98.14,64.93,118,73.19,82.36,161.4,127.02,132.31
"16261","SULT1A3",2723.4,2316.03,2448.93,2198.6,1177.71,1510.44,3660.12,2645.54,1738.45,2637.01,3186.4,3461.37
"16262","SULT1A4",0,0.92,1.48,9.45,0.58,0,0.04,4.25,383,3.78,0.78,0.6
"16263","SULT1B1",4767.27,5333.87,2813.28,2285.43,5970.2,10879.39,1244.98,2695.47,2935.25,4754.2,1464.45,2690.91
"16264","SULT1C2",2.37,1,1,0,0.82,0,0,1,0,0,1,2
"16265","SULT1C3",0,0,0,0,0,0,0,0,0,0,0,0
"16266","SULT1C4",6.86,0,6.1,0,2.03,4.06,9.06,2.1,5.83,4.79,4.98,0
"16267","SULT1E1",0,0,0,0,1,4,1,0,0,0,0,0
"16268","SULT2A1",2.03,2.02,1.63,3.03,0,3.76,1.98,2.91,2.36,2.79,8.28,2.17
"16269","SULT2B1",1,4,1,1,0,0,1,1,2,0,4,0
"16270","SULT4A1",1,0,0,0,0,0,0,0,0,0,0,0
"16271","SULT6B1",0,0,0,0,0,0,0,0,0,0,0,0
"16272","SUMF1",1135,982,615,809,520,465,698,960,583,1257,798,899
"16273","SUMF2",1835.4,936.72,1409.03,2018.03,780.1,580.08,2025.93,1246.22,2599.01,2064.5,1882.73,2153.63
"16274","SUMO1",3704,3051,2301,2982,1982,1685,2533,3359,2850,3367,2631,3192
"16275","SUMO2",5053.56,4090.02,3635.39,4274.3,2704.25,1970.53,3065.4,3353.31,4652.35,5260.38,3667.01,4285.95
"16276","SUMO3",1599,1247,1310,1385,799,543,1544,1119,1621,1674,1332,1313
"16277","SUMO4",6.01,4,0,4,3.01,13.03,2,7.01,4.96,2,0,8.02
"16278","SUN1",831.04,502,561.31,880,763,615.94,639.62,239,1625.16,1020,393.02,1055
"16279","SUN2",6914,6408,6059,10290,4170,2772,8194,5828,10880,8449,10316,8677
"16280","SUN3",2,0,1.31,1.23,0,0,0,3.74,4,0,0,1.22
"16281","SUN5",0,0,0,0,0,0,0,0,0,0,0,0
"16282","SUOX",413.11,219.01,285.55,224,219.05,159.01,289,268.01,261.05,463.06,284,293.05
"16283","SUPT16H",2587,1637,1455,1941,2053,1492,1322,966,3183,2312,1070,2075
"16284","SUPT20H",2674.62,2046.39,1945.21,1616.65,2121.57,2306.45,700.15,1281.99,2655.69,2265.21,1307.32,1974.05
"16285","SUPT20HL1",0,0,1,0,1,0,0,0,0,0,1.12,0
"16286","SUPT20HL2",6.18,1.01,1.82,0,3.7,3.86,11.01,23.47,1.95,3.85,7.97,12.59
"16287","SUPT3H",69,41,65,173,53,57,137,70,174,77,96,111
"16288","SUPT4H1",6339,5409,4109,4577,4171,4277,4032,4412,4370,6409,4722,4845
"16289","SUPT5H",2743,1584,1692,2028,1502,1314,2486.01,2403,3168,2435,3239,3000
"16290","SUPT6H",3221,1384,1404,1606,1786,1726,1956,1973,2500,2052,2237,2256
"16291","SUPT7L",807.5,677.38,916.57,923.8,779.49,519.06,680.33,591.11,1451.42,1020.38,677.1,1109.86
"16292","SUPV3L1",399,186,322,390,192,100,469,402,417,272,292,354
"16293","SURF1",2182,1483,1184,1134,1007,806,1872,1856,1615,1921,2064,1727
"16294","SURF2",148,133,106,214,64,31,365,261,182,204,326,237
"16295","SURF4",3895,2764,2506,3058,2059,1569,2777,2958,2869,3479,2930,3340
"16296","SURF6",965.92,565.49,656.5,824.6,699.74,786.46,897.67,770.71,875.64,866.94,814.26,964.81
"16297","SUSD1",1876,654,939,648,831,664,588,661,927,1595,588,805
"16298","SUSD2",10,0,8,21,10,17,8,5,9,9,35,10
"16299","SUSD3",356,373,365,704,178,79,816,211,814,331,609,513
"16300","SUSD4",9,15,6,68,19,2,73,8,75,45,29,80
"16301","SUSD5",4,2.99,4.02,3,9.22,6.22,4.01,1.99,7.37,3.01,4.02,5.95
"16302","SUSD6",5918,4645,3016,4679,6438,7852,2456,3290,5029,7515,3781,5641
"16303","SUV39H1",296,199,179,261,124,77,357,243,304,260,283,265
"16304","SUV39H2",51.05,64.32,56.26,59.14,56.01,37.58,17.86,25.6,58.12,30,27.32,53.25
"16305","SUZ12",1902,1080,1022,1207,1815,1589,728,747,1787,1395,731,1488
"16306","SV2A",61,23,50,102,27,30,36,38,125,43,29,63
"16307","SV2B",11.75,6.07,5.93,6.09,11.05,4.3,11.64,5.02,13.05,5.2,5.99,5.16
"16308","SV2C",1,3.94,1.75,1.21,7.19,7.8,9.88,6.68,4.03,6.03,5.98,5.31
"16309","SVBP",725,513,391,596,370,327,480,668,463,677,671,584
"16310","SVEP1",1,4,0,2,0,2,0,0,1,1,0,1
"16311","SVIL",4195,2400,2352,2156,3046,4222,1048,1512,2774,3453,1451,2572
"16312","SVIP",814.19,425.58,440.94,731.15,613.01,333.42,338.85,343.83,1094.19,606.29,344.11,608.4
"16313","SVOP",14.12,11.53,26.52,17.43,18.02,20.42,25.11,18.69,19.61,9.39,16.35,26.92
"16314","SVOPL",4,3,0,12,1,0,1,0,2,3,0,2
"16315","SWAP70",1494.38,813.07,668.01,669.73,902.79,590.96,613.63,395.98,1608.63,1076.96,646.92,900.88
"16316","SWI5",382,217,195,306,134,102,433,414,217,308,304,259
"16317","SWSAP1",82,62,72,75,38,30,167,107,68,130,241,111
"16318","SWT1",340,216,248,192,268,265,139,115,237,272,119,193
"16319","SYAP1",1034.01,680.65,652.13,696.15,641.88,614.64,616.39,937.07,820.16,882.74,608.13,799.59
"16320","SYBU",2,0,0,9,2,6,10,0,19,10,3,7
"16321","SYCE1",1,8,12,12,0,0,3,0,5,0,21,33
"16322","SYCE1L",1.01,9.03,0,4.01,2,0,13,5,12.12,4,7,5.02
"16323","SYCE2",8,7,2,0,3,3,7,3,5,3,3,6
"16324","SYCE3",3,3,8,4,4,3,9,23,3,7,27,4
"16325","SYCN",0,0,0,0,0,0,0,0,0,0,0,0
"16326","SYCP1",0,0,0,0,0,0,0,0,0,0,0,0
"16327","SYCP2",174,351,100,80,165,322,53,104,133,125,53,152
"16328","SYCP2L",15,13,3,2,13,1,5,2,21,34,0,1
"16329","SYCP3",6.08,9.01,15.02,15,1,3.01,1,13.04,10.06,8.01,14.04,5.02
"16330","SYDE1",1,0,1,6,1,1,2,0,3,1,0,1
"16331","SYDE2",7.29,7.44,1.03,14.18,11.41,7.1,3.01,3,21.82,3.87,5,7.9
"16332","SYF2",4301,3215,2490,3184,2515,1999,3146,3716,3218,4229,3442,3537
"16333","SYK",14302.46,9609.05,5078.38,5978.89,6642.29,9783.37,5671.33,8828.43,6801.28,11099.71,8172.24,9047.22
"16334","SYMPK",1051,651,798,694,404,470,893,741,1265,1124,1645,1075
"16335","SYN1",16,3,3,10,4,3,5,17,10,9,11,3
"16336","SYN2",47,51,58,19,18,56,52,83,33,115,24,55
"16337","SYN3",178.19,75.69,414.85,235.12,91.37,109.06,529.35,1575.34,363.22,214.74,1007.75,114.71
"16338","SYNC",22.34,27.63,17.15,0,7.45,0,367.81,342.29,0,15.7,299.41,0
"16339","SYNCRIP",2540,1318,1347,1653,1716,1080,1074,1037,2784,2074,1019,2038
"16340","SYNDIG1",0,0,0,0,0,0,0,0,0,0,0,0
"16341","SYNDIG1L",1,0,4,0,1,0,1,2,2,1,0,2
"16342","SYNE1",2672,3137,2856,1930,3009,1760,934,1318,3522,2678,868,2022
"16343","SYNE2",1547,1434,1330,1753,2848,2200,754,644,3262,2647,908,2295
"16344","SYNE3",1836.91,868.43,831.03,842.3,1270.62,960.54,700.61,486.71,1714.41,1223.07,599.35,1162.3
"16345","SYNE4",7,5,11,20,4,5,16,19,11,7,17,12
"16346","SYNGAP1",156,175,210,496,285,166,251,103,895,256,162,483
"16347","SYNGR1",121,69,161,112,124,84,261,153,122,237,270,220
"16348","SYNGR2",2874,2799,2322,2378,1324,1155,3750,2172,3275,4820,5560,3146
"16349","SYNGR3",6,3,18,26,8,4,12,2,21,12,3,16
"16350","SYNGR4",0,0,1,0,1,0,0,0,0,0,4,0
"16351","SYNJ1",999,470,573,514,966,1094,254,447,675,787,385,529
"16352","SYNJ2",214,314,135,205,161,93,128,87,300,180,88,194
"16353","SYNJ2BP",290.58,193.08,274.14,357.88,306.59,271.27,230.62,163.36,676.59,395.14,159.87,383.56
"16354","SYNJ2BP-COX16",0,0.97,0,0,0,0,0,0.27,2.75,2.97,2.85,0
"16355","SYNM",162,63,82,155,59,69,74,45,174,111,41,58
"16356","SYNPO",36.02,1,5.03,52,39.7,41.4,61,8.02,36.11,26.92,29.07,69.22
"16357","SYNPO2",33.88,24.65,57.82,47.27,33.12,30.44,22.05,12.78,71.09,52.86,22.29,27.24
"16358","SYNPO2L",8.69,4.24,8.22,8.99,0,15.5,12.02,6,3.14,3.05,4.64,4.71
"16359","SYNPR",0,0,0,0,0,0,0,0,0,0,0,0
"16360","SYNRG",1727.01,1038.02,1216.09,1780.67,1714,1324.5,824.8,695.34,2143.72,1399.8,729.93,1647.87
"16361","SYP",69,117,81,51,33,33,56,51,59,98,159,29
"16362","SYPL1",1385.16,781,748.81,1142,820,587,741,694,1456,1228,758.88,1228
"16363","SYPL2",0,0,0,1,0,0,0,0,1,0,0,1
"16364","SYS1",1184.62,771.79,887.99,1025.97,802.64,465.41,939.93,969,1108.8,1196,917.94,1020
"16365","SYT1",4,6,2,2,2,0,3,1,0,2,1,0
"16366","SYT10",0,0,0,0,0,0,0,0,0,0,0,0
"16367","SYT11",1402.22,767.61,929.68,702.68,612.47,442.63,375.41,907.06,813.15,875.76,521.45,608.06
"16368","SYT12",0,0,0,0,0,0,0,0,0,0,0,0
"16369","SYT13",3.04,1.13,1.01,4.02,1.98,0,6,6.5,3.18,0.74,3.11,0.51
"16370","SYT14",0,0,0,0,0,1,0,3,0,0,0.82,0
"16371","SYT15",8.21,3.55,23.87,14.48,12.63,9.82,0,16.78,21.48,17.56,14.61,5.06
"16372","SYT16",1,0,0,0,0,0,0,0,0,0,0,0
"16373","SYT17",60,6,1,8,20,17,48,21,125.01,67,77,29
"16374","SYT2",4.86,4.03,6.23,10.53,22.58,14.28,0,7.63,5.33,8.35,1.72,15.71
"16375","SYT3",0,0,0,6,0,0,2,0,1,0,0,0
"16376","SYT4",0,0,0,0,0,0,0,0,0,0,0,0
"16377","SYT5",3.23,1.54,4.18,0,2.09,6.95,3.23,5.01,2.28,2.34,6.84,4.53
"16378","SYT6",3,2,3,0,0,2,0,0,1,0,0,2
"16379","SYT7",4.88,5.42,5.23,2.63,3.64,1.34,7.7,3.71,5.17,5.09,6.2,4.78
"16380","SYT8",0,0,0,0,0,0,0,0,0,0,0,0
"16381","SYT9",0,1,0,0,0,0,0,0,0,0,0,0
"16382","SYTL1",754,988,697,1140,421,340,1444,1002,1250,1652,2962,1119
"16383","SYTL2",441,173,486,347,266,96,146,202,397,173,83,290
"16384","SYTL3",1359,613,1465,956,861,1405,584,744,861,1098,532,1442
"16385","SYTL4",170.57,32.69,65.54,48.5,41.16,60.57,64.35,65.77,72.83,86.04,45.57,20.18
"16386","SYTL5",0,0,0,0,0,0,1,0,1,0,0,0
"16387","SYVN1",965.31,463,647.56,817,596,440,878.44,664,1076,928.38,952.86,1037.36
"16388","SZRD1",4729,3721,3605,3972,2697,2082,3849,4585,4624,5305,5250,4378
"16389","SZT2",1445.32,866.45,1098.02,811.17,804.26,996.06,1102.64,1004.27,1839.54,1163.54,1224.55,1320.83
"16390","TAAR1",2,10,1,0,1,2,0,1,0,0,1,0
"16391","TAAR2",0,0,0,0,0,0,0,0,0,0,0,0
"16392","TAAR5",0,0,0,0,0,0,0,0,0,0,0,0
"16393","TAAR6",0,0,0,0,0,1,0,0,0,1,0,0
"16394","TAAR8",0,0,0,0,0,0,0,0,0,0,0,0
"16395","TAAR9",0,0,0,0,0,0,0,0,0,0,0,0
"16396","TAB1",718,481,447,564,293,179,721,472,772,756,904,697
"16397","TAB2",5204,3391,3149,3554,5706,5620,1910,2474,5509,4745,2302,4659
"16398","TAB3",1120,650,766,598,1246,1507,322,428,1009,944,439,721
"16399","TAC1",0,0,0,0,0,0,0,0,0,0,0,0
"16400","TAC3",0,0,0,4,1,1,4,0,4,0,0,4
"16401","TAC4",0,0,0,1,1,0,0,1,1,0,0,0
"16402","TACC1",4591.65,2238.02,1960.78,2279.05,4545.69,3953.88,1370.43,1411.3,2929.79,2975.14,1193.06,2799
"16403","TACC2",0,0,0,0,0,0,0,0,0,1,0,0
"16404","TACC3",3476,3006,1996,2987,2628,4062,5581,5193,3134,4108,6053,5175
"16405","TACO1",351,249,206,298,129,85,358,363,319,327,373,261
"16406","TACR1",0,0,0,0,0,0,0,0,1,0,0,0
"16407","TACR2",7,2,0,1,1,2,1,7,9,0,0,3
"16408","TACR3",0,0,0,0,0,0,0,0,0,0,0,0
"16409","TACSTD2",161,49,26,78,29,32,15,4,77,28,5,10
"16410","TADA1",271,138,174,266,188,96,152,102,411,248,103,227
"16411","TADA2A",351.42,224.73,233.8,359.72,219.73,139.3,284.31,177.75,421.96,333.86,250.64,368.34
"16412","TADA2B",1921.02,1157.51,1073.93,1471.18,1611.13,1411.55,978.92,852.32,1570.95,1776.75,1006.79,1460.62
"16413","TADA3",4660.35,3710.75,3527.08,3260.99,1847.75,1604.78,3814.12,4732.79,3211.05,4530.66,6223.57,3459.73
"16414","TAF1",1140.17,547.35,728.23,760.94,1227.55,1318.98,500.33,336.14,1371.14,876.03,333.4,892.13
"16415","TAF10",3493.81,2909.82,2541.26,2866.43,1807.73,1771.42,4038.79,4818.37,2712.14,3713.83,4921.09,3229.44
"16416","TAF11",982.63,806.01,717,782,619,467,766,677,900,943,720,875
"16417","TAF12",1520,1265,949,1013,967,904,700,717,971,1262,821,961
"16418","TAF13",227,159,129,160.02,163,100,43,79.02,139,199,53,194.01
"16419","TAF15",3017,1833,1770,3201,1854,1164,3030,2132,3420,3086,2758,3030
"16420","TAF1A",57.56,47.53,54.01,77.46,65.53,39.15,38.16,35.4,87.17,63.52,32.37,84.38
"16421","TAF1B",181,152,245,151,155,71,53,121,179,152,113,134
"16422","TAF1C",464,465,558,575,293,216,679,401,792,628,874.97,783
"16423","TAF1D",607,414,431,556,565,445,335,211,899,534,328,718.98
"16424","TAF1L",2.36,1.99,2.04,4.05,10.39,13.21,1.01,2.2,15.59,3.07,3.06,5.51
"16425","TAF2",493,343,328,375,551,409,76,166,633,379,150,360
"16426","TAF3",221,121,136,214,158,101,225,161,253,187,140,203
"16427","TAF4",426,193,193,351,326,326,225,179,374,375,186,460
"16428","TAF4B",54,21,55,99,99,49,40,19,193,100,22,97
"16429","TAF5",213,152,178,175,144,112,116,125,177,207,107,191
"16430","TAF5L",751,439,509,553,469,349,343,252,823,635,316,560
"16431","TAF6",538.58,358.15,349.05,399.73,208.49,254.06,366.26,234.94,544.39,521.92,579.29,485.41
"16432","TAF6L",105,74,85,120,47,36,129,90,171,139,165,155
"16433","TAF7",8615,5657,4173,6024,5944,5251,3180,4040,5892,6722,3800,6362
"16434","TAF7L",5,3,3,1,2,0,0,1,1.02,1,0,0
"16435","TAF8",853.29,796.29,690.19,752.15,640.51,802.12,425.53,485.52,820,723.47,430.28,833.01
"16436","TAF9",1223.05,846.85,687.27,873.62,654.57,511.68,613.35,438.4,1276.74,997.55,623,973.86
"16437","TAF9B",236,191,100,298,205,177,143,115,446,223,102,263
"16438","TAFA1",17,18,21,39,13,5,32,23,58,25,9,35
"16439","TAFA2",304,56,44,86,133,86,10,14,23,72,7,86
"16440","TAFA3",0,0,0,0,0,0,0,0,0,1,0,0
"16441","TAFA4",0,0,0,0,1,0,0,0,0,0,0,0
"16442","TAFA5",1,0,0,0,0,0,0,0,1,0,0,0
"16443","TAGAP",7826,4559,8185,7791,13458,8669,3368,3306,15591,11102,6427,11443
"16444","TAGLN",1166.22,430.1,489.16,500.55,140.09,204.27,2231.85,1846.73,1126.53,1147.59,2645.79,1069.36
"16445","TAGLN2",55142,42195,32128,60216,47969,32731,53729,47232,41761,69618,78462,50005
"16446","TAGLN3",0,0,0,0,0,0,1,1,0,1,0,0
"16447","TAL1",649,176.95,291,311,477,300,530,366,411,370,157,137
"16448","TAL2",0,0,0,0,1,0,0,0,0,1,0,0
"16449","TALDO1",21603,20788,11027,19553,11426,13651,27003,32183,11288,26138,35408,22219
"16450","TAMALIN",80,32,24,133,25,23,151,59,121,71,107,102
"16451","TAMM41",120.25,83,103.71,185,82.17,61.04,111.23,87.41,175,123.78,137.9,153.28
"16452","TANC1",7,5,13,6,5,1,8,0,10,4,1,6
"16453","TANC2",327,168,209,222,346,395,118,153,243,243,119,290
"16454","TANGO2",2481.36,1854.19,1832.56,1904.12,1377.15,1399.58,2034.2,2356.23,1877.43,2557.69,2398.87,2122.33
"16455","TANGO6",351,195,252,269,216,174,195,161,419,379,174,287
"16456","TANK",3997,2801,2595,2213,2889,2761,834,1606.01,2430,3601,1848,2361
"16457","TAOK1",3007,1554,1518,1323,3298,3293,773,1109,2180,1966,911,1740
"16458","TAOK2",981.19,680,727,740,694,562,682,683.06,910,994,1041,1024
"16459","TAOK3",3440,2096,1628,1685,2541,2259,1204,1616,2479,2657,1443,2222
"16460","TAP1",14006.19,17256.47,23546.91,11339.06,11141.56,9703.14,8121.93,11130.77,16494.36,22782.35,22222.94,10618.28
"16461","TAP2",3249.81,3960.53,7360.09,3953.94,4128.44,3890.86,1547.07,3431.23,5624.64,8290.65,7489.06,4522.72
"16462","TAPBP",5125.36,6490.4,5683.9,5857.32,3394.9,3930.59,10375.07,12409.66,6812.84,11401.8,16812.45,7783.23
"16463","TAPBPL",1499.05,1337.59,1454.8,826.35,604.92,517.32,1503.57,1790.98,1668.06,1601,2369.53,1330.67
"16464","TAPT1",639,578,412,601,569,441,375,292,665,729,399,740
"16465","TARBP1",319,183,330,405,289,202,321,94,720,302,201,461
"16466","TARBP2",202,175,204,310,136,83,355,245.01,283,282,402.37,290.25
"16467","TARDBP",2731,2014,2223,2750,2386,1886,2410,1588,3614,2851,1612,2605
"16468","TARM1",213.97,57,46,9.02,58,25.94,5.09,2.03,11,12,0,10.58
"16469","TARP",1230,593,1467,1941,481,221,669,1265,732,1140,408,1349
"16470","TARS1",1190,748,970,797,905,473,547,507,1150,948,537,803
"16471","TARS2",524.67,300.01,424.02,461.63,290.53,225.87,397.36,285.1,670.64,516.62,399.41,413.15
"16472","TARS3",207,121,150,288,199,131,172,111,389,241,136,313
"16473","TAS1R1",1,0,0,1,1,2,1,0,0,0,0,0
"16474","TAS1R2",0,0,0,0,0,0,0,0,0,0,0,0
"16475","TAS1R3",15,12,12,21,6,9,15,15,14,17,62,28
"16476","TAS2R1",0,0,0,0,0,0,0,0,0,0,0,0
"16477","TAS2R10",0,0,0,2,0,1,0,0,1,0,1,0
"16478","TAS2R13",0,0,0,0,0,0,0,0,0,0,0,0
"16479","TAS2R14",11.01,4.54,3.93,8.95,7.5,7.49,0,0,16.12,2.55,3.16,7.95
"16480","TAS2R16",0,0,0,0,0,0,0,0,0,0,0,0
"16481","TAS2R19",1,1,1,0,5,1,0,0,4,1,1,0
"16482","TAS2R20",9,6,16,21,9,8,30,12,29,18,14.01,20
"16483","TAS2R3",0,0,0,0,0,0,0,0,0,0,0,0
"16484","TAS2R30",1,0,0,0,0,0,0,0,0,0,0,0
"16485","TAS2R31",0,1,0,5,0,0,0,0,4,1,3,1
"16486","TAS2R38",1,1,0,0,4,3,0,0,0,0,0,0
"16487","TAS2R39",0,1,0,0,0,1,0,1,0,1,0,0
"16488","TAS2R4",15.22,4.92,10.32,9.24,11.97,17.41,11.3,15.1,29.68,2.61,8.72,13.34
"16489","TAS2R40",37,41,29,35,25,189,7,15,25,55,15,46
"16490","TAS2R41",0,0,0,0,0,1,0,0,0,0,0,0
"16491","TAS2R42",3,0,1,0,0,0,0,0,1,0,0,0
"16492","TAS2R43",0,0,1,0,0,0,0,0,2,1,0,0
"16493","TAS2R45",0,1,0,0,1,4,0,0,0,1,0,2
"16494","TAS2R46",0,0,0,0,0,0,0,0,1,0,0,2
"16495","TAS2R5",4,0,5,3,5,7,0,0,6,3,0,7
